Region,Gun Law Strength
California,A
New Jersey,A
Connecticut,A-
Hawaii,A-
Illinois,A-
Maryland,A-
Massachusetts,A-
New York,A-
Colorado,B
Delaware,B
Virginia,B
Pennsylvania,B-
Oregon,B+
Rhode Island,B+
Washington,B+
Nebraska,C
North Carolina,C
Florida,C-
Vermont,C-
Michigan,C+
Minnesota,C+
Nevada,C+
New Mexico,C+
Wisconsin,D+
Alabama,F
Alaska,F
Arizona,F
Arkansas,F
Georgia,F
Idaho,F
Indiana,F
Iowa,F
Kansas,F
Kentucky,F
Louisiana,F
Maine,F
Mississippi,F
Missouri,F
Montana,F
New Hampshire,F
North Dakota,F
Ohio,F
Oklahoma,F
South Carolina,F
South Dakota,F
Tennessee,F
Texas,F
Utah,F
West Virginia,F
Wyoming,F
