EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,
5631602,FALLS CO.,CHILTON,1/4/1998,2059,Tornado, ,F0,0,0,0,0,TX,CST, ,2072603,C,145,FWD,0,0, , ,0.1,30,2,N,2,N,CHILTON,1/4/1998,2101,31.32,-97.07,31.32,-97.07,A brief tornado touchdown was reported.,,1,,,,,,,,,,,,,
5630553,CLATSOP CO.,SEASIDE,1/5/1998,1300,Tornado, ,F0,0,0,3000,0,OR,PST, ,2072654,C,7,PQR,0,0, , ,0.1,10, , , , ,SEASIDE,1/5/1998,1300,46,-123.92,46,-123.92,A weak tornado did minor damage to the Kinni-Kinnic Lodge and an adjacent home on Beach Street in Seaside.,,2,,,,,,,,,,,,,
5627836,MILLS CO.,GOLDTHWAITE,1/5/1998,1800,Tornado, ,F0,0,0,0,0,TX,CST, ,2072609,C,333,FWD,0,0, , ,0.1,30,10,S,10,S,GOLDTHWAITE,1/5/1998,1800,31.3,-98.57,31.3,-98.57,A brief tornado touchdown was reported.,,3,,,,,,,,,,,,,
5627938,SAN SABA CO.,SAN SABA,1/5/1998,1800,Tornado, ,F0,0,0,1000,0,TX,CST, ,1055241,C,411,SJT,0,0, , ,0.1,15,7,NE,7,NE,SAN SABA,1/5/1998,1800,31.27,-98.65,31.27,-98.65,A small shed was destroyed,,4,,,,,,,,,,,,,
5627838,MILLS CO.,GOLDTHWAITE,1/5/1998,1852,Tornado, ,F1,0,0,40000,0,TX,CST, ,2072609,C,333,FWD,0,0, , ,0.5,40,5,NE,5,NE,GOLDTHWAITE,1/5/1998,1855,31.5,-98.5,31.5,-98.5,A tornado severely damaged a mobile home.,,5,,,,,,,,,,,,,
5627843,HAMILTON CO.,HICO,1/5/1998,1915,Tornado, ,F0,0,0,0,0,TX,CST, ,2072611,C,193,FWD,0,0, , ,0.1,30,5,S,5,S,HICO,1/5/1998,1916,31.92,-98.03,31.92,-98.03,A brief tornado touchdown was reported.,,6,,,,,,,,,,,,,
5627223,SMITH CO.,GRESHAM,1/5/1998,2252,Tornado, ,F2,0,0,120000,0,TX,CST, ,2072180,C,423,SHV,0,0, , ,4.2,75, , ,4,S,TYLER,1/5/1998,2301,32.23,-95.35,32.28,-95.3,"HP Supercell developed along a quasi-stationary front and moved northeast.  This Supercell produced a family of three tornadoes, numerous microbursts and giant hail.  A meso was detected by dopplar radar with the HP supercell.  In this supercell an F2 tornado was produced.   As the supercell developed, massive mid level convergence occurred resulting in giant hail.  The evolution continued resulting in a bow echo pattern where two additional weak tornadoes occurred in the northern comma heads    In the first tornado, damage consisted of numerous snapped and fallen trees.  Fifteen homes and three businesses were either moderately or severely damaged including roofs removed on two homes.  Southwestern Bell phone truck heavily damaged from a fallen tree and a Ford Aerostar Van was crushed almost beyond recognition.  Several telephone poles were tilted to a 45 degree angle.",,7,,,,,,,,,,,,,
5627224,SMITH CO.,WINONA,1/5/1998,2334,Tornado, ,F0,0,0,0,0,TX,CST, ,2072180,C,423,SHV,0,0, , ,5.6,50,2,S,5,NE,WINONA,1/5/1998,2346,32.47,-95.17,32.55,-95.1,"HP Supercell developed along a quasi-stationary front and moved northeast.  This Supercell produced a family of three tornadoes, numerous microbursts and giant hail.  A meso was detected by dopplar radar with the HP supercell.  As the supercell developed, massive mid level convergence occurred resulting in giant hail.  The evolution continued resulting in a bow echo pattern where a weak tornado occurred in the comma head.    In this second tornado, damage consisted of numerous snapped and fallen trees.  No structures were present.",,8,,,,,,,,,,,,,
5627225,UPSHUR CO.,GILMER,1/6/1998,8,Tornado, ,F0,0,0,0,0,TX,CST, ,2072180,C,459,SHV,0,0, , ,2.1,25,4,SSE,4,SE,GILMER,1/6/1998,13,32.68,-94.9,32.7,-94.88,"HP Supercell developed along a quasi-stationary front and moved northeast.  This Supercell produced a family of three tornadoes, numerous microbursts and giant hail.  A meso was detected by dopplar radar with the HP supercell.  As the supercell developed, massive mid level convergence occurred resulting in giant hail.  The evolution continued resulting in a bow echo pattern where a weak tornado occurred in the comma head.    A few small oaks were pushed over (saturated soil) and numerous limbs snapped.  No structures were in the area.",,9,,,,,,,,,,,,,
5631501,ST. TAMMANY PAR.,SLIDELL,1/7/1998,145,Tornado, ,F0,0,0,200,0,LA,CST, ,2072835,C,103,LIX,0,0, , ,0.2,30,1,W,1,W,SLIDELL,1/7/1998,145,30.27,-89.8,30.27,-89.8,A tornado touched down briefly in the Ozone Woods subdivision snapping trees and downing power lines.,,10,,,,,,,,,,,,,
5628378,OKALOOSA CO.,DESTIN,1/7/1998,1015,Tornado,0,F0,0,1,7000,0,FL,CST, ,2072108,C,91,MOB,0,0, , ,0.1,25, , , , ,DESTIN,1/7/1998,1016,30.38,-86.52,30.38,-86.52,A waterspout moved onshore on Okaloosa Island and damaged a home under construction.  The waterspout/tornado  quickly dissipated as it moved onshore.  The tornado track on the island was less than a block long.  A male working on the house was injured and was briefly hospitalised.,,11,,,,,,,,,,,,,
5631346,COFFEE CO.,MANCHESTER,1/7/1998,1245,Tornado, ,F1,0,0,250000,0,TN,CST, ,2072592,C,31,OHX,0,0, , ,0.5,20,7,E,7,ENE,MANCHESTER,1/7/1998,1246,35.48,-85.95,35.52,-85.97,"The Coffee county EMA director surveyed the damage. 5 homes had some roof damage, but a brick home lost an entire roof. Some outbuildings were destroyed. There were no injuries. A woman did see a funnel before the tornado struck.  Trees and power lines were down on Ragsdale Road.",,12,,,,,,,,,,,,,
