Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,United States,1961,179087280,91388000,0.51029867,510.29867,3.9183998,,23323008,0.13023263,1302.3263,,,31000,0.0001731,0.17309995,7756000,0.043308493,43.308493,90207000,0.50370413,503.70413,1470000,0.008208288,8.208288,81588000,0.45557675,455.57675,3282000,0.01832626,18.32626,,,,8.212054,22.49877786,62.430637,1.1837196,0.19024065
,United States,1962,181917810,91604000,0.50354606,503.54606,4.0621,,22551008,0.12396262,1239.6262,,,34000,0.000186898,0.1868976,11161000,0.061351884,61.351884,88923000,0.48880866,488.80866,1499000,0.008239985,8.2399845,80191000,0.44080895,440.80895,3452000,0.018975602,18.975602,,,,8.235591,22.56326279,62.6644,1.1931047,0.1900521
,United States,1963,184649870,102093010,0.5529005,552.9005,4.2595997,,23968000,0.12980242,1298.0242,,,24000,0.000129976,0.12997571,11466000,0.0620959,62.0959,86295000,0.46734396,467.34396,1526000,0.008264289,8.264289,76406000,0.41378853,413.78853,4291000,0.023238575,23.238575,,,,8.268881,22.65446827,62.892014,1.1918157,0.18984677
,United States,1964,187277380,88504000,0.47258243,472.58243,3.9498,,22407008,0.1196461,1196.461,,,24000,0.000128152,0.12815215,12532000,0.066916786,66.916786,85102000,0.45441687,454.41687,1570000,0.008383287,8.383287,75085000,0.40092936,400.92936,4166000,0.02224508,22.24508,,,,8.385489,22.97394224,63.828747,1.2114714,0.18962163
,United States,1965,189703280,104216930,0.5493681,549.3681,4.6492,,22416032,0.11816365,1181.6365,,,24000,0.000126513,0.12651336,15460000,0.081495695,81.495695,95271000,0.5022106,502.2106,1628000,0.008581823,8.581823,85373000,0.45003438,450.03438,3429000,0.018075597,18.075597,,,,8.578876,23.50376963,65.43103,1.2526212,0.19999833
,United States,1966,191830980,105861410,0.55184734,551.84734,4.5892,,23067568,0.12024944,1202.4944,,,25000,0.000130323,0.13032307,15871000,0.082734294,82.734294,94582000,0.49304864,493.04864,1714000,0.00893495,8.9349495,84662000,0.44133645,441.33645,3180000,0.016577093,16.577093,,,,8.937269,24.48566825,68.23484,1.3158524,0.20000957
,United States,1967,193782430,123458300,0.6370975,637.0975,5.0264997,,24561648,0.12674858,1267.4858,,,20000,0.000103209,0.10320853,13301000,0.06863883,68.63883,99219000,0.51201236,512.01236,1694000,0.008741763,8.7417625,89488000,0.46179625,461.79625,2961000,0.015280023,15.280023,,,,8.739648,23.94424086,66.69509,1.2740932,0.20006421
,United States,1968,195743420,113022820,0.5774029,577.4029,4.9891,,22653984,0.11573305,1157.3305,,,29000,0.000148153,0.14815312,15293000,0.07812779,78.12779,101176000,0.5168807,516.8807,1489000,0.007606897,7.6068966,91621000,0.4680668,468.0668,2783000,0.014217591,14.217591,,,,7.610611,20.85098883,57.474323,1.0736961,0.16842292
,United States,1969,197859330,119055940,0.6017201,601.7201,5.3908,,22085008,0.11161975,1116.1975,,,27000,0.000136461,0.13646059,14205000,0.07179343,71.79343,106877000,0.5401666,540.1666,1480000,0.007480062,7.4800616,97133000,0.4909195,490.9195,3649000,0.018442396,18.442396,,,,7.484338,20.50503541,56.46891,1.0511711,0.16818736
,United States,1970,200328340,105471120,0.5264913,526.4913,4.5439,,23211632,0.11586794,1158.6794,,,84000,0.000419312,0.41931163,14657000,0.07316489,73.16489,101535000,0.5068429,506.8429,1404000,0.007008494,7.0084943,91240000,0.4554523,455.4523,3461000,0.017276637,17.276637,,,,7.009347,19.20369022,52.617252,0.9639162,0.14668289
