Entity,Code,Year, Prevalence of undernourishment  Percent
United States,USA,2001,2.5
United States,USA,2002,2.5
United States,USA,2003,2.5
United States,USA,2004,2.5
United States,USA,2005,2.5
United States,USA,2006,2.5
United States,USA,2007,2.5
United States,USA,2008,2.5
United States,USA,2009,2.5
United States,USA,2010,2.5
United States,USA,2011,2.5
United States,USA,2012,2.5
United States,USA,2013,2.5
United States,USA,2014,2.5
United States,USA,2015,2.5
United States,USA,2016,2.5
United States,USA,2017,2.5
United States,USA,2018,2.5
United States,USA,2019,2.5
United States,USA,2020,2.5
United States,USA,2021,2.5
