Year,"Food insecurity 
(includes low and very low food security)",Very low food security
,Percent of households,
2001,10.7,3.3
2002,11.1,3.5
2003,11.2,3.5
2004,11.9,3.9
2005,11.0,3.9
2006,10.9,4.0
2007,11.1,4.1
2008,14.6,5.7
2009,14.7,5.7
2010,14.5,5.4
2011,14.9,5.7
2012,14.5,5.7
2013,14.3,5.6
2014,14.0,5.6
2015,12.7,5.0
2016,12.3,4.9
2017,11.8,4.5
2018,11.1,4.3
2019,10.5,4.1
2020,10.5,3.9
2021,10.2,3.8
2022,12.8,5.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
